Date,Company,State,City,Level,Working Mode,Average_salary
2024-06-23,Pci Government Services,Alabama,Huntsville,Senior,On-Site,85000.0
2024-06-23,Booz Allen,Alabama,Huntsville,Mid-level,On-Site,123800.0
2024-06-23,Booz Allen,Alabama,Huntsville,Senior,On-Site,158300.0
2024-06-23,Leidos,Alabama,Huntsville,Mid-level,On-Site,114062.5
2024-06-23,Recruiting From Scratch,Alabama,Huntsville,Lead,On-Site,160000.0
2024-06-23,Recruiting From Scratch,Alabama,Huntsville,Senior,On-Site,165000.0
2024-06-23,Prosper,Arizona,Phoenix,Mid-level,On-Site,162500.0
2024-06-23,Us Dhs Headquarters,Arizona,Chandler,Lead,On-Site,162050.0
2024-06-23,Clarivate,Arizona,Chandler,Senior,On-Site,136000.0
2024-06-23,City National Bank,Arizona,Phoenix,Mid-level,On-Site,165625.0
2024-06-23,Intel,Arizona,Arizona,Mid-level,On-Site,210733.0
2024-06-23,University Of Arizona,Arizona,Tucson,Mid-level,On-Site,159967.5
2024-06-23,Paypal,Arizona,Arizona,Manager,On-Site,110375.0
2024-06-23,Raytheon Technologies Corporate Headquarters,Arizona,Tucson,Senior,hybrid,96000.0
2024-06-23,Intel,Arizona,Arizona,Mid-level,On-Site,202652.0
2024-06-23,University Of Arizona,Arizona,Tucson,Mid-level,On-Site,86870.5
2024-06-23,Samsara,Arizona,Phoenix,Mid-level,On-Site,207107.5
2024-06-23,Intel,Arizona,Phoenix,Manager,On-Site,223610.0
2024-06-23,Sonja Cotton & Associates,Arizona,Phoenix,Mid-level,On-Site,112897.88500000001
2024-06-23,Amex,Arizona,Phoenix,Senior,On-Site,150000.0
2024-06-23,Recruiting From Scratch,Arizona,Mesa,Lead,On-Site,160000.0
2024-06-23,Recruiting From Scratch,Arizona,Mesa,Senior,On-Site,165000.0
2024-06-23,Walmart,Arkansas,Bentonville,Mid-level,On-Site,165000.0
2024-06-23,Walmart,Arkansas,Bentonville,Mid-level,On-Site,135000.0
2024-06-23,Walmart,Arkansas,Bentonville,Mid-level,On-Site,165000.0
2024-06-23,Sam's Club,Arkansas,Bentonville,Senior,On-Site,135000.0
2024-06-23,Walmart,Arkansas,Bentonville,Mid-level,On-Site,195000.0
2024-06-23,Walmart,Arkansas,Bentonville,Mid-level,On-Site,165000.0
2024-06-23,Walmart,Arkansas,Bentonville,Senior,On-Site,135000.0
2024-06-23,Walmart,Arkansas,Bentonville,Senior,On-Site,165000.0
2024-06-23,Walmart,Arkansas,Bentonville,Manager,On-Site,165000.0
2024-06-23,Walmart,Arkansas,Bentonville,Senior,On-Site,195000.0
2024-06-23,Walmart,Arkansas,Bentonville,Mid-level,On-Site,165000.0
2024-06-23,Southern Arkansas University Tech,Arkansas,Camden,Mid-level,On-Site,40000.0
2024-06-23,Uber,California,San Francisco,Senior,On-Site,174000.0
2024-06-23,Paypal,California,San Jose,Manager,On-Site,144550.0
2024-06-23,Meta,California,Fremont,Mid-level,On-Site,207500.0
2024-06-23,Pinterest,California,San Francisco,Mid-level,On-Site,266071.5
2024-06-23,Tiktok,California,San Jose,Mid-level,On-Site,195000.0
2024-06-23,Adobe,California,San Jose,Mid-level,On-Site,203900.0
2024-06-23,Tiktok,California,Mountain View,Mid-level,On-Site,192000.0
2024-06-23,Tiktok,California,San Jose,Mid-level,On-Site,157000.0
2024-06-23,Uber,California,San Francisco,Mid-level,On-Site,203000.0
2024-06-23,Health Net,California,California,Mid-level,On-Site,118000.0
2024-06-23,Tiktok,California,San Jose,Senior,On-Site,266053.5
2024-06-23,Crunchbase,California,California,Mid-level,On-Site,200000.0
2024-06-23,"Twitch Interactive, Inc.",California,San Francisco,Mid-level,On-Site,129400.0
2024-06-23,Vagaro,California,Pleasanton,Mid-level,On-Site,175000.0
2024-06-23,Active Motif Inc,California,Carlsbad,Mid-level,On-Site,115000.0
2024-06-23,Tiktok,California,San Jose,Lead,On-Site,224500.0
2024-06-23,Pinterest,California,San Francisco,Mid-level,On-Site,188747.0
2024-06-23,Tiktok,California,San Jose,Lead,On-Site,284000.0
2024-06-23,Meta,California,Fremont,Manager,On-Site,173500.0
2024-06-23,Uber,California,Sunnyvale,Mid-level,On-Site,149000.0
2024-06-23,Uber,California,San Francisco,Manager,On-Site,203000.0
2024-06-23,Waymo,California,Mountain View,Senior,On-Site,207500.0
2024-06-23,Nuna,California,San Francisco,Senior,On-Site,232500.0
2024-06-23,Meta,California,Menlo Park,Mid-level,On-Site,140000.0
2024-06-23,Uber,California,San Francisco,Mid-level,On-Site,149000.0
2024-06-23,Amazon.com Services Llc,California,Sunnyvale,Mid-level,On-Site,125500.0
2024-06-23,Confidential Posting,California,San Francisco,Mid-level,On-Site,165000.0
2024-06-23,Amazon.com Services Llc - A57,California,Santa Monica,Mid-level,On-Site,143300.0
2024-06-23,Bill.com,California,San Jose,Senior,On-Site,139350.0
2024-06-23,Appfolio,California,Santa Barbara,Mid-level,On-Site,148500.0
2024-06-23,Tri Counties Bank,California,Roseville,Mid-level,On-Site,102500.0
2024-06-23,Abbott Laboratories,California,Pleasanton,Mid-level,On-Site,163900.0
2024-06-23,Material,California,Oakland,Associate,On-Site,152000.0
2024-06-23,Stanford University,California,Stanford,Senior,On-Site,106000.0
2024-06-23,Linktree,California,San Francisco,Senior,On-Site,172500.0
2024-06-23,Lawrence Livermore National Laboratory,California,Livermore,Mid-level,On-Site,151683.0
2024-06-23,Vagaro,California,Pleasanton,Mid-level,On-Site,175000.0
2024-06-23,A9.com Llc,California,Palo Alto,Mid-level,On-Site,143300.0
2024-06-23,Nvidia,California,Santa Clara,Mid-level,On-Site,223750.0
2024-06-23,Snapchat,California,Los Angeles,Senior,On-Site,195500.0
2024-06-23,Meta,California,Sunnyvale,Mid-level,On-Site,145000.0
2024-06-23,H2o.ai,California,Mountain View,Senior,On-Site,174000.0
2024-06-23,Collective Health,California,San Francisco Bay Area,Senior,On-Site,146250.0
2024-06-23,Goodrx,California,Santa Monica,Lead,On-Site,214500.0
2024-06-23,Topcon Healthcare,California,San Francisco Bay Area,Senior,On-Site,200000.0
2024-06-23,Arsenal Biosciences,California,South San Francisco,Mid-level,On-Site,110200.0
2024-06-23,Doma,California,San Francisco Bay Area,Mid-level,On-Site,230350.0
2024-06-23,Tiktok,California,San Jose,Mid-level,On-Site,197500.0
2024-06-23,Plaid,California,San Francisco,Mid-level,On-Site,193910.0
2024-06-23,Tiktok,California,San Jose,Lead,On-Site,298140.0
2024-06-23,"Amazon Web Services, Inc.",California,Santa Clara,Mid-level,On-Site,125500.0
2024-06-23,Meta,California,Sunnyvale,Mid-level,On-Site,175500.0
2024-06-23,Amazon.com Services Llc,California,Palo Alto,Mid-level,On-Site,136000.0
2024-06-23,Amazon.com Services Llc,California,San Diego,Mid-level,On-Site,125500.0
2024-06-23,Crunchbase,California,California,Mid-level,On-Site,210000.0
2024-06-23,Amazon.com Services Llc,California,Sunnyvale,Mid-level,On-Site,150400.0
2024-06-23,Rand Corporation,California,Los Angeles,Mid-level,On-Site,118850.0
2024-06-23,Latham & Watkins Llp,California,Los Angeles,Mid-level,On-Site,140000.0
2024-06-23,Id.me,California,Sunnyvale,Mid-level,On-Site,228402.5
2024-06-23,Goodrx,California,Santa Monica,Mid-level,On-Site,180500.0
2024-06-23,A9.com Llc,California,Palo Alto,Mid-level,On-Site,150400.0
2024-06-23,Meta,California,San Francisco,Mid-level,On-Site,283500.0
2024-06-23,Amazon.com Services Llc,California,Palo Alto,Mid-level,On-Site,136000.0
2024-06-23,Rubrik Job Board,California,Palo Alto,Mid-level,On-Site,282600.0
2024-06-23,Meta,California,San Francisco,Mid-level,On-Site,140000.0
2024-06-23,"Amazon Web Services, Inc.",California,Santa Clara,Mid-level,On-Site,136000.0
2024-06-23,Meta,California,Menlo Park,Mid-level,On-Site,243500.0
2024-06-23,Apple,California,Sunnyvale,Senior,On-Site,165500.0
2024-06-23,"Amazon Development Center U.s., Inc.",California,Santa Clara,Mid-level,On-Site,86700.0
2024-06-23,Tiktok,California,San Jose,Mid-level,On-Site,250000.0
2024-06-23,Tsmc,California,San Jose,Mid-level,On-Site,190000.0
2024-06-23,Instagram,California,Menlo Park,Mid-level,On-Site,337500.0
2024-06-23,Amazon.com Services Llc,California,Sunnyvale,Senior,On-Site,143300.0
2024-06-23,Salesforce,California,San Francisco,Lead,On-Site,258150.0
2024-06-23,Tiktok,California,San Jose,Mid-level,On-Site,197500.0
2024-06-23,Meta,California,Sunnyvale,Mid-level,On-Site,145000.0
2024-06-23,Pinterest,California,San Francisco,Mid-level,On-Site,283720.5
2024-06-23,Meta,California,Burlingame,Mid-level,On-Site,177497.0
2024-06-23,"Ucpath Center, University Of California",California,Riverside,Mid-level,On-Site,107000.0
2024-06-23,Meta,California,Menlo Park,Mid-level,On-Site,169000.0
2024-06-23,Warner Bros. Discovery,California,San Francisco,Mid-level,On-Site,207500.0
2024-06-23,University Of California Berkeley,California,Berkeley,Graduate,On-Site,81350.0
2024-06-23,Slac National Accelerator Laboratory,California,Menlo Park,Mid-level,On-Site,85000.0
2024-06-23,University Of California Berkeley,California,Berkeley,Mid-level,On-Site,145300.0
2024-06-23,Enchannel Medical Ltd,California,Ladera Ranch,Mid-level,On-Site,150000.0
2024-06-23,Tiktok,California,San Jose,Mid-level,On-Site,197500.0
2024-06-23,Microsoft,California,Mountain View,Senior,On-Site,173200.0
2024-06-23,Skyworks,California,Irvine,Mid-level,On-Site,160600.0
2024-06-23,Amazon.com Services Llc,California,Santa Clara,Mid-level,On-Site,136000.0
2024-06-23,Biomerieux Sa,California,San Jose,Lead,On-Site,180470.0
2024-06-23,Paypal,California,San Jose,Mid-level,On-Site,124350.0
2024-06-23,Apple,California,Cupertino,Mid-level,On-Site,213600.0
2024-06-23,Blackhawk Network,California,Pleasanton,Mid-level,hybrid,157360.0
2024-06-23,Merck Sharp & Dohme,California,South San Francisco,Associate,On-Site,195550.0
2024-06-23,Nvidia,California,Santa Clara,Mid-level,On-Site,252500.0
2024-06-23,Koko Home,California,Sunnyvale,Mid-level,On-Site,160000.0
2024-06-23,Apple,California,Sunnyvale,Mid-level,On-Site,197700.0
2024-06-23,Salesforce,California,San Francisco,Mid-level,On-Site,196650.0
2024-06-23,Meta,California,Menlo Park,Mid-level,Remote,214004.0
2024-06-23,Meta,California,Burlingame,Mid-level,On-Site,337500.0
2024-06-23,Walmart,California,Sunnyvale,Senior,On-Site,175500.0
2024-06-23,Apple,California,Sunnyvale,Mid-level,On-Site,197700.0
2024-06-23,University Of California Berkeley,California,Berkeley,Mid-level,On-Site,102500.0
2024-06-23,International Flavors & Fragrances,California,Palo Alto,Mid-level,On-Site,148100.0
2024-06-23,Amazon.com Services Llc,California,San Diego,Mid-level,On-Site,115100.0
2024-06-23,Niagara Bottling,California,Diamond Bar,Mid-level,On-Site,95300.5
2024-06-23,"Amazon Data Services, Inc.",California,Cupertino,Mid-level,On-Site,136000.0
2024-06-23,Amazon.com Services Llc,California,San Diego,Mid-level,On-Site,129300.0
2024-06-23,Tiktok,California,Mountain View,Mid-level,On-Site,143575.0
2024-06-23,Uber,California,San Francisco,Mid-level,On-Site,203000.0
2024-06-23,Walmart,California,Sunnyvale,Mid-level,On-Site,198000.0
2024-06-23,Pit.ai Technologies Inc.,California,San Jose,Mid-level,On-Site,150000.0
2024-06-23,Nuro,California,Mountain View,Mid-level,On-Site,209000.0
2024-06-23,Apple,California,Sunnyvale,Mid-level,On-Site,197700.0
2024-06-23,Uber,California,San Francisco,Senior,On-Site,174000.0
2024-06-23,"Amazon Development Center U.s., Inc.",California,Santa Clara,Mid-level,On-Site,136000.0
2024-06-23,"Amazon Development Center U.s., Inc. - B02",California,Pasadena,Mid-level,On-Site,136000.0
2024-06-23,Adobe,California,San Jose,Mid-level,On-Site,217550.0
2024-06-23,Deep 6 Ai,California,Pasadena,Mid-level,On-Site,230000.0
2024-06-23,Walmart,California,Sunnyvale,Mid-level,On-Site,214500.0
2024-06-23,Alx Oncology Inc.,California,South San Francisco,Mid-level,On-Site,172500.0
2024-06-23,Adobe,California,San Jose,Mid-level,On-Site,129150.0
2024-06-23,Tiktok,California,San Jose,Graduate,On-Site,250000.0
2024-06-23,University Of California Berkeley,California,Berkeley,Graduate,On-Site,110850.0
2024-06-23,Amazon.com Services Llc,California,San Diego,Mid-level,On-Site,136000.0
2024-06-23,Verily,California,San Francisco,Mid-level,On-Site,298000.0
2024-06-23,Abbott Laboratories,California,Alameda,Mid-level,On-Site,163900.0
2024-06-23,Faire,California,San Francisco,Mid-level,On-Site,248750.0
2024-06-23,Disney Direct To Consumer,California,Santa Monica,Senior,On-Site,138100.0
2024-06-23,Robinhood,California,Menlo Park,Senior,On-Site,120500.0
2024-06-23,"Amazon Web Services, Inc.",California,Santa Clara,Mid-level,On-Site,143300.0
2024-06-23,Nautilus Bio,California,San Carlos,Mid-level,On-Site,170500.0
2024-06-23,University Of California Berkeley,California,Berkeley,Senior,On-Site,82950.0
2024-06-23,Meta,California,Sunnyvale,Mid-level,On-Site,145000.0
2024-06-23,Apple,California,Sunnyvale,Mid-level,On-Site,197700.0
2024-06-23,Tiktok,California,San Jose,Mid-level,On-Site,197500.0
2024-06-23,Walmart,California,Sunnyvale,Mid-level,On-Site,214500.0
2024-06-23,Salesforce,California,San Francisco,Senior,On-Site,229050.0
2024-06-23,Amazon.com Services Llc,California,Culver City,Mid-level,On-Site,127300.0
2024-06-23,Adobe,California,San Jose,Mid-level,On-Site,193050.0
2024-06-23,Zoox,California,Foster City,Manager,On-Site,209000.0
2024-06-23,Ucla,California,Los Angeles,Associate,On-Site,117569.5
2024-06-23,Apple,California,Cupertino,Mid-level,On-Site,197700.0
2024-06-23,Meta,California,Fremont,Mid-level,On-Site,180000.0
2024-06-23,Apple,California,Sunnyvale,Mid-level,On-Site,197700.0
2024-06-23,Guidewire Software,California,San Mateo,Lead,On-Site,192500.0
2024-06-23,Prosper,California,San Francisco,Mid-level,On-Site,162500.0
2024-06-23,Apple,California,Cupertino,Mid-level,On-Site,213600.0
2024-06-23,Walmart,California,Sunnyvale,Senior,On-Site,162000.0
2024-06-23,Uber,California,San Francisco,Mid-level,On-Site,185000.0
2024-06-23,"Amazon Development Center U.s., Inc.",California,Santa Clara,Mid-level,On-Site,136000.0
2024-06-23,Walmart,California,Sunnyvale,Mid-level,On-Site,214500.0
2024-06-23,Tiktok,California,San Jose,Mid-level,On-Site,177000.0
2024-06-23,Pinterest,California,San Francisco,Mid-level,On-Site,283720.5
2024-06-23,Aircall,California,San Francisco,Mid-level,On-Site,200000.0
